nuts_code,nuts_level,country,year,ai_adoption_share,n_firms
DEF0,2,Germany,2017,0.01299412344417272,27397
DEG0,2,Germany,2017,0.019567845270474463,13236
DE11,2,Germany,2018,0.04284573538952937,40101
DE12,2,Germany,2018,0.04598243449226973,27576
DE13,2,Germany,2018,0.028742622876965357,22216
DE14,2,Germany,2018,0.03178236797274276,18802
DE21,2,Germany,2018,0.06060695737093648,67640
DE22,2,Germany,2018,0.025524002704530088,11843
DE23,2,Germany,2018,0.03537779419915019,10833
DE24,2,Germany,2018,0.026954693175301088,10471
DE25,2,Germany,2018,0.03962716668483593,18360
DE26,2,Germany,2018,0.03411371237458194,13465
DE27,2,Germany,2018,0.028999843806945383,19216
DE30,2,Germany,2018,0.06862558841534207,47433
DE40,2,Germany,2018,0.02898715471183358,17609
DE50,2,Germany,2018,0.03264303264303264,8563
DE60,2,Germany,2018,0.045895354082092915,35525
DE71,2,Germany,2018,0.05414880314397999,44820
DE72,2,Germany,2018,0.033925686591276254,8673
DE73,2,Germany,2018,0.029387417218543047,9674
DE80,2,Germany,2018,0.021259979173897953,11539
DE91,2,Germany,2018,0.03543008715422508,10563
DE92,2,Germany,2018,0.03216858088378431,20583
DE93,2,Germany,2018,0.01943699731903485,13439
DE94,2,Germany,2018,0.025356691349106016,27721
DEA1,2,Germany,2018,0.03720742682233912,54609
DEA2,2,Germany,2018,0.04877719227131469,44432
DEA3,2,Germany,2018,0.028004575395416717,25372
DEA4,2,Germany,2018,0.027474462839027828,22727
DEA5,2,Germany,2018,0.030412227019974526,32214
DEB1,2,Germany,2018,0.02254175091739684,13368
DEB2,2,Germany,2018,0.030793436727354462,4453
DEB3,2,Germany,2018,0.043304768757768036,15303
DEC0,2,Germany,2018,0.04098256331933308,7865
DED2,2,Germany,2018,0.031186219283206792,12258
DED4,2,Germany,2018,0.023567006191332136,10019
DED5,2,Germany,2018,0.03980156898938625,8673
DEE0,2,Germany,2018,0.026837356366160255,12977
DEF0,2,Germany,2018,0.023645522771666497,29219
DEG0,2,Germany,2018,0.028820280413539158,14137
DE11,2,Germany,2019,0.06440710239443995,42065
DE12,2,Germany,2019,0.06811403204550184,28854
DE13,2,Germany,2019,0.04331050030347698,23081
DE14,2,Germany,2019,0.048069586448954676,19675
DE21,2,Germany,2019,0.08826186376083335,70901
DE22,2,Germany,2019,0.03956079444534152,12400
DE23,2,Germany,2019,0.052341356673960615,11435
DE24,2,Germany,2019,0.045012503473187,10806
DE25,2,Germany,2019,0.06056199033916792,19266
DE26,2,Germany,2019,0.04993616115761101,14116
DE27,2,Germany,2019,0.04440470868722992,20142
DE30,2,Germany,2019,0.09645775477993328,50109
DE40,2,Germany,2019,0.048104799742295715,18643
DE50,2,Germany,2019,0.049176629821791114,8876
DE60,2,Germany,2019,0.07210589782942337,36527
DE71,2,Germany,2019,0.080970625798212,47023
DE72,2,Germany,2019,0.04974024538521057,9048
DE73,2,Germany,2019,0.04315549836682173,10109
DE80,2,Germany,2019,0.03299785513941594,12132
DE91,2,Germany,2019,0.050193746057493015,11112
DE92,2,Germany,2019,0.0499234445320837,21567
DE93,2,Germany,2019,0.02959920691120238,14132
DE94,2,Germany,2019,0.0366346812885538,29201
DEA1,2,Germany,2019,0.06023378489686476,57115
DEA2,2,Germany,2019,0.06940192315984649,46424
DEA3,2,Germany,2019,0.04123359380927092,26387
DEA4,2,Germany,2019,0.04352235274233077,23678
DEA5,2,Germany,2019,0.04590818363273453,33592
DEB1,2,Germany,2019,0.039253539253539256,14001
DEB2,2,Germany,2019,0.04235090751944685,4632
DEB3,2,Germany,2019,0.06087702106810387,16338
DEC0,2,Germany,2019,0.05791876952655611,8331
DED2,2,Germany,2019,0.05021375825884182,12872
DED4,2,Germany,2019,0.03871649534057066,10409
DED5,2,Germany,2019,0.060222726781273654,9259
DEE0,2,Germany,2019,0.040897097625329816,13658
DEF0,2,Germany,2019,0.03615409944023708,30395
DEG0,2,Germany,2019,0.0408934476010527,14829
DE11,2,Germany,2020,0.08229647234260683,42924
DE12,2,Germany,2020,0.08560337552742615,29628
DE13,2,Germany,2020,0.06066137453835378,23558
DE14,2,Germany,2020,0.06469767905169838,20080
DE21,2,Germany,2020,0.11062463113685338,72863
DE22,2,Germany,2020,0.048336224570257054,12682
DE23,2,Germany,2020,0.06427899820497479,11699
DE24,2,Germany,2020,0.05663991244071507,10966
DE25,2,Germany,2020,0.07919175426063885,19599
DE26,2,Germany,2020,0.06100503205349142,14507
DE27,2,Germany,2020,0.05965134398130113,20536
DE30,2,Germany,2020,0.12017589538853209,51860
DE40,2,Germany,2020,0.06806718319380167,19235
DE50,2,Germany,2020,0.06738694586767655,8979
DE60,2,Germany,2020,0.10136286201022146,37573
DE71,2,Germany,2020,0.10061278569062604,48311
DE72,2,Germany,2020,0.06295373279878644,9230
DE73,2,Germany,2020,0.059503009124441855,10303
DE80,2,Germany,2020,0.03991344073094494,12479
DE91,2,Germany,2020,0.06679574056147145,11363
DE92,2,Germany,2020,0.06264721869903968,22076
DE93,2,Germany,2020,0.04662213346188279,14524
DE94,2,Germany,2020,0.04676523717133873,29899
DEA1,2,Germany,2020,0.07865110779828303,58365
DEA2,2,Germany,2020,0.09260115121213394,47606
DEA3,2,Germany,2020,0.0532753364562421,26901
DEA4,2,Germany,2020,0.05710854350436907,24149
DEA5,2,Germany,2020,0.06160098234124664,34206
DEB1,2,Germany,2020,0.051134368195546814,14237
DEB2,2,Germany,2020,0.05113636363636364,4752
DEB3,2,Germany,2020,0.07541414987141917,16723
DEC0,2,Germany,2020,0.07476415094339622,8482
DED2,2,Germany,2020,0.06279936136242682,13153
DED4,2,Germany,2020,0.04945831370701837,10615
DED5,2,Germany,2020,0.07346468245650807,9542
DEE0,2,Germany,2020,0.05126732246715014,13928
DEF0,2,Germany,2020,0.046041046329203084,31235
DEG0,2,Germany,2020,0.05366370743341725,15095
DE11,2,Germany,2021,0.09945209263778258,43446
DE12,2,Germany,2021,0.10549757362228279,30090
DE13,2,Germany,2021,0.07410526315789474,23752
DE14,2,Germany,2021,0.0811502856017333,20309
DE21,2,Germany,2021,0.13403842003021801,74145
