classification,code,digit_level,country,year,ai_adoption_share,n_firms
nace,U,1,Belgium,2020,0.203125,64
nace,A,1,Belgium,2021,0.027309968138370506,4394
nace,B,1,Belgium,2021,0.020134228187919462,298
nace,C,1,Belgium,2021,0.046346680676999284,26647
nace,D,1,Belgium,2021,0.12,650
nace,E,1,Belgium,2021,0.018654230512991338,1501
nace,F,1,Belgium,2021,0.03144535544874815,31836
nace,G,1,Belgium,2021,0.04085476524776549,58403
nace,H,1,Belgium,2021,0.05791909240185102,6699
nace,I,1,Belgium,2021,0.024406292995154632,16718
nace,J,1,Belgium,2021,0.1781468816153721,12284
nace,K,1,Belgium,2021,0.0798965030578642,12754
nace,L,1,Belgium,2021,0.022449138670200326,25658
nace,M,1,Belgium,2021,0.08359312228828539,31115
nace,N,1,Belgium,2021,0.04299855640338214,9699
nace,O,1,Belgium,2021,0.02972027972027972,2860
nace,P,1,Belgium,2021,0.034934497816593885,6183
nace,Q,1,Belgium,2021,0.03231117513891747,14577
nace,R,1,Belgium,2021,0.04017857142857143,4928
nace,S,1,Belgium,2021,0.03880302532061822,6082
nace,T,1,Belgium,2021,,21
nace,U,1,Belgium,2021,0.23809523809523808,63
nace,A,1,Belgium,2022,0.031082028511334424,4279
nace,B,1,Belgium,2022,0.020618556701030927,291
nace,C,1,Belgium,2022,0.05500019298313327,25909
nace,D,1,Belgium,2022,0.13804173354735153,623
nace,E,1,Belgium,2022,0.03183391003460208,1445
nace,F,1,Belgium,2022,0.03771178125204422,30575
nace,G,1,Belgium,2022,0.04977697215261858,56271
nace,H,1,Belgium,2022,0.06794022492682175,6491
nace,I,1,Belgium,2022,0.02741241548862938,16270
nace,J,1,Belgium,2022,0.20253164556962025,11850
nace,K,1,Belgium,2022,0.09237856623292653,12373
nace,L,1,Belgium,2022,0.025363759243062733,25154
nace,M,1,Belgium,2022,0.09475927282413266,30034
nace,N,1,Belgium,2022,0.05187074829931973,9408
nace,O,1,Belgium,2022,0.03515625,2816
nace,P,1,Belgium,2022,0.038018433179723504,6076
nace,Q,1,Belgium,2022,0.041389918198979234,14303
nace,R,1,Belgium,2022,0.04367816091954023,4785
nace,S,1,Belgium,2022,0.04901796206144032,5957
nace,T,1,Belgium,2022,,20
nace,U,1,Belgium,2022,0.2857142857142857,63
nace,A,1,Belgium,2023,0.03883732291157792,4094
nace,B,1,Belgium,2023,0.024305555555555556,288
nace,C,1,Belgium,2023,0.06278910743735168,24861
nace,D,1,Belgium,2023,0.15384615384615385,598
nace,E,1,Belgium,2023,0.0351506456241033,1394
nace,F,1,Belgium,2023,0.04396584245001543,29159
nace,G,1,Belgium,2023,0.05786645344837204,53779
nace,H,1,Belgium,2023,0.08065290446471435,6249
nace,I,1,Belgium,2023,0.03191353287285751,15636
nace,J,1,Belgium,2023,0.23024450744153083,11288
nace,K,1,Belgium,2023,0.10836693548387097,11904
nace,L,1,Belgium,2023,0.03549737360472751,24368
nace,M,1,Belgium,2023,0.10911183178156711,28677
nace,N,1,Belgium,2023,0.06031710832686551,9019
nace,O,1,Belgium,2023,0.04575402635431918,2732
nace,P,1,Belgium,2023,0.051386761953377574,5877
nace,Q,1,Belgium,2023,0.04900301670222942,13591
nace,R,1,Belgium,2023,0.04869075957584938,4621
nace,S,1,Belgium,2023,0.057719054242002785,5752
nace,T,1,Belgium,2023,,20
nace,U,1,Belgium,2023,0.32786885245901637,61
nace,A,1,Belgium,2024,0.04671649759743727,3746
nace,B,1,Belgium,2024,0.026415094339622643,265
nace,C,1,Belgium,2024,0.07509795385285155,22970
nace,D,1,Belgium,2024,0.17657657657657658,555
nace,E,1,Belgium,2024,0.04234527687296417,1228
nace,F,1,Belgium,2024,0.053596720089452106,26830
nace,G,1,Belgium,2024,0.06811526888668996,49519
nace,H,1,Belgium,2024,0.0960539979231568,5778
nace,I,1,Belgium,2024,0.03804006421442033,14327
nace,J,1,Belgium,2024,0.2640705221350383,10323
nace,K,1,Belgium,2024,0.12747152619589977,10975
nace,L,1,Belgium,2024,0.0386153572698187,22504
nace,M,1,Belgium,2024,0.12706701479547433,26427
nace,N,1,Belgium,2024,0.07585624698504582,8292
nace,O,1,Belgium,2024,0.07139766334919947,2311
nace,P,1,Belgium,2024,0.0646830530401035,5411
nace,Q,1,Belgium,2024,0.05611672278338945,12474
nace,R,1,Belgium,2024,0.039684437006932825,4183
nace,S,1,Belgium,2024,0.07092065868263472,5344
nace,T,1,Belgium,2024,,18
nace,U,1,Belgium,2024,0.3559322033898305,59
nace,A,1,France,2016,0.003499562554680665,38864
nace,B,1,France,2016,0.008741258741258742,572
nace,C,1,France,2016,0.008529411764705883,54402
nace,D,1,France,2016,0.008849557522123894,4407
nace,E,1,France,2016,0.0073426573426573424,2860
nace,F,1,France,2016,0.007584065263956217,97591
nace,G,1,France,2016,0.007815600849851743,171339
nace,H,1,France,2016,0.010279808696608213,18192
nace,I,1,France,2016,0.005879558142297185,84193
nace,J,1,France,2016,0.036201699095642643,36492
nace,K,1,France,2016,0.011425944774600256,60921
nace,L,1,France,2016,0.007240285272663178,295043
nace,M,1,France,2016,0.01333463490823897,102450
nace,N,1,France,2016,0.02026255707762557,49183
nace,O,1,France,2016,0.0012539184952978057,1596
nace,P,1,France,2016,0.008117971251955016,13427
nace,Q,1,France,2016,0.004091722785781264,11731
nace,R,1,France,2016,0.005529711226191521,11393
nace,S,1,France,2016,0.006641010795899602,29367
nace,U,1,France,2016,0.0,194
nace,A,1,France,2017,0.006597993671312193,44560
nace,B,1,France,2017,0.0121580547112462,658
nace,C,1,France,2017,0.015591088982509894,62667
nace,D,1,France,2017,0.016676593210244194,5037
nace,E,1,France,2017,0.01303538175046555,3222
nace,F,1,France,2017,0.014557354335302268,109714
nace,G,1,France,2017,0.014070445339940925,193329
nace,H,1,France,2017,0.020604062636350416,20628
nace,I,1,France,2017,0.011499197364417539,95313
nace,J,1,France,2017,0.06528796441024408,41587
nace,K,1,France,2017,0.029074136838537597,67868
nace,L,1,France,2017,0.019071982632451946,327990
nace,M,1,France,2017,0.02731867231252561,117149
nace,N,1,France,2017,0.026738830444990053,55924
nace,O,1,France,2017,0.002858776443682104,1749
nace,P,1,France,2017,0.01633239694257529,15307
nace,Q,1,France,2017,0.010061742510862108,13119
nace,R,1,France,2017,0.00990023023791251,13030
nace,S,1,France,2017,0.012990122717749178,33413
nace,U,1,France,2017,0.014705882352941176,204
nace,A,1,France,2018,0.009450935339128172,46134
nace,B,1,France,2018,0.020771513353115726,674
nace,C,1,France,2018,0.023360825692300604,65111
nace,D,1,France,2018,0.026918671248568157,5238
nace,E,1,France,2018,0.01944943147815679,3342
nace,F,1,France,2018,0.022443433946036945,109308
nace,G,1,France,2018,0.021830335635137307,199279
nace,H,1,France,2018,0.03332857889982409,21034
nace,I,1,France,2018,0.017219100279472307,99833
nace,J,1,France,2018,0.09573980760421438,43663
nace,K,1,France,2018,0.04401820269638072,70546
nace,L,1,France,2018,0.029768732005336952,341790
nace,M,1,France,2018,0.04311798663812674,123351
nace,N,1,France,2018,0.03631226817346691,57820
nace,O,1,France,2018,0.0076045627376425855,1841
nace,P,1,France,2018,0.025970828974090712,16249
nace,Q,1,France,2018,0.01373546511627907,13760
nace,R,1,France,2018,0.016020783719419788,13857
nace,S,1,France,2018,0.023945101474667836,34248
nace,U,1,France,2018,0.01904761904761905,210
nace,A,1,France,2019,0.012399983243265888,47744
nace,B,1,France,2019,0.03724928366762178,698
nace,C,1,France,2019,0.03102838197469559,67264
nace,D,1,France,2019,0.03329613095238095,5376
nace,E,1,France,2019,0.02302535703876421,3432
nace,F,1,France,2019,0.030730460956914354,114295
nace,G,1,France,2019,0.030625332221458215,205076
nace,H,1,France,2019,0.04339023604656513,21735
nace,I,1,France,2019,0.02211318921544814,102928
nace,J,1,France,2019,0.12417089130580432,44780
nace,K,1,France,2019,0.059786584944989715,72447
nace,L,1,France,2019,0.0387791375043584,352789
nace,M,1,France,2019,0.05858711254218877,128892
nace,N,1,France,2019,0.04421140939597316,59603
nace,O,1,France,2019,0.013433637829124127,1861
nace,P,1,France,2019,0.03613115138717814,17049
nace,Q,1,France,2019,0.02043252352197725,14242
nace,R,1,France,2019,0.021909450183734313,14423
nace,S,1,France,2019,0.03269116858940005,35456
nace,U,1,France,2019,0.23444976076555024,209
nace,A,1,France,2020,0.014805458348000745,48295
nace,B,1,France,2020,0.042028985507246375,690
nace,C,1,France,2020,0.037916654343261066,67624
nace,D,1,France,2020,0.040632865875584324,5562
nace,E,1,France,2020,0.02796194868838282,3469
nace,F,1,France,2020,0.0370770148834597,113960
nace,G,1,France,2020,0.037039912276445645,206116
nace,H,1,France,2020,0.052431017859602407,21782
nace,I,1,France,2020,0.025532770406111783,104457
nace,J,1,France,2020,0.15230381091488515,45188
nace,K,1,France,2020,0.07279091070671716,73146
nace,L,1,France,2020,0.0475477118242286,356485
nace,M,1,France,2020,0.07277029237452545,131447
nace,N,1,France,2020,0.05123049568786454,60181
nace,O,1,France,2020,0.019968470835522858,1903
nace,P,1,France,2020,0.04541310541310541,17551
nace,Q,1,France,2020,0.02889324191968658,14294
nace,R,1,France,2020,0.025492158825492158,14985
nace,S,1,France,2020,0.03707211096565747,35906
nace,U,1,France,2020,0.2631578947368421,209
nace,A,1,France,2021,0.017401853130032837,47811
nace,B,1,France,2021,0.0896358543417367,714
nace,C,1,France,2021,0.04487093853438423,67371
nace,D,1,France,2021,0.04625313732520617,5578
nace,E,1,France,2021,0.032520325203252036,3445
nace,F,1,France,2021,0.042802665811326135,112238
nace,G,1,France,2021,0.051271994548244604,203972
nace,H,1,France,2021,0.05819466393976016,21514
nace,I,1,France,2021,0.029342541862798055,103673
nace,J,1,France,2021,0.17657505660879988,45047
nace,K,1,France,2021,0.08816848212819531,73076
nace,L,1,France,2021,0.05494425130230308,355524
nace,M,1,France,2021,0.08473446635766003,132037
nace,N,1,France,2021,0.06031825376989086,60015
nace,O,1,France,2021,0.029304029304029304,1911
nace,P,1,France,2021,0.05415510111595763,17653
nace,Q,1,France,2021,0.03538331929233361,14244
nace,R,1,France,2021,0.031348171913642135,14961
nace,S,1,France,2021,0.04363094903635444,35594
nace,U,1,France,2021,0.26066350710900477,211
nace,A,1,France,2022,0.019103238779788645,46746
nace,B,1,France,2022,0.0944206008583691,699
nace,C,1,France,2022,0.05365372953305033,65960
nace,D,1,France,2022,0.055433989788475566,5484
nace,E,1,France,2022,0.03859649122807018,3420
nace,F,1,France,2022,0.05045589356056084,108907
nace,G,1,France,2022,0.05845467320080384,198550
nace,H,1,France,2022,0.06802204066121983,21052
nace,I,1,France,2022,0.033537812239289394,101885
nace,J,1,France,2022,0.20008169378446455,44068
nace,K,1,France,2022,0.10328821733736636,71741
nace,L,1,France,2022,0.06201088999510178,351148
nace,M,1,France,2022,0.0983883405305367,129680
nace,N,1,France,2022,0.06932762399959219,58851
nace,O,1,France,2022,0.03143006809848088,1909
nace,P,1,France,2022,0.06287717684924421,17399
nace,Q,1,France,2022,0.041484397783610384,13716
nace,R,1,France,2022,0.036158421194917544,14796
nace,S,1,France,2022,0.05141564799175517,34931
nace,U,1,France,2022,0.27884615384615385,208
nace,A,1,France,2023,0.023832032538199405,45485
nace,B,1,France,2023,0.10029940119760479,668
nace,C,1,France,2023,0.06400438493461749,63856
nace,D,1,France,2023,0.0730230798335225,5286
nace,E,1,France,2023,0.04528985507246377,3312
nace,F,1,France,2023,0.0636579798364086,105141
nace,G,1,France,2023,0.07065678683197858,192041
nace,H,1,France,2023,0.0828873066535723,20365
nace,I,1,France,2023,0.042827594597882955,98628
nace,J,1,France,2023,0.23123333801038304,42763
nace,K,1,France,2023,0.1213223234786577,70119
nace,L,1,France,2023,0.07836705312256759,341738
nace,M,1,France,2023,0.1161331515098965,126863
nace,N,1,France,2023,0.0826057405761489,57381
nace,O,1,France,2023,0.03829787234042553,1880
nace,P,1,France,2023,0.0768598920441211,17044
nace,Q,1,France,2023,0.049767998802574466,13363
nace,R,1,France,2023,0.044280187897209174,14476
nace,S,1,France,2023,0.06131322094055013,33810
nace,U,1,France,2023,0.2955665024630542,203
nace,A,1,France,2024,0.028130734744128784,43049
nace,B,1,France,2024,0.1060126582278481,632
nace,C,1,France,2024,0.07461570419609473,60175
nace,D,1,France,2024,0.08193849746983262,5138
nace,E,1,France,2024,0.052096569250317665,3148
nace,F,1,France,2024,0.07448185218885855,98911
nace,G,1,France,2024,0.08287076160019442,181053
nace,H,1,France,2024,0.09332570358424803,19223
nace,I,1,France,2024,0.04995721357467044,92319
nace,J,1,France,2024,0.2700094278767429,40306
nace,K,1,France,2024,0.14162154031287605,66480
nace,L,1,France,2024,0.09119590230866305,323304
nace,M,1,France,2024,0.13521908390623705,120730
nace,N,1,France,2024,0.09792322906746759,54604
nace,O,1,France,2024,0.04278661546900713,1823
nace,P,1,France,2024,0.10096360400171853,16293
nace,Q,1,France,2024,0.057660496258369436,12695
nace,R,1,France,2024,0.05359095880422895,13715
nace,S,1,France,2024,0.07224394057857701,31975
nace,U,1,France,2024,0.3263157894736842,190
nace,A,1,Germany,2016,0.010409273716583865,4227
nace,B,1,Germany,2016,0.0028846153846153848,1040
nace,C,1,Germany,2016,0.007745943892777688,73718
nace,D,1,Germany,2016,0.0107811786203746,10945
nace,E,1,Germany,2016,0.0030864197530864196,3240
nace,F,1,Germany,2016,0.005039648850273659,55361
nace,G,1,Germany,2016,0.008430312471364427,109142
nace,H,1,Germany,2016,0.008796788286692643,16938
nace,I,1,Germany,2016,0.011276194163480618,20663
nace,J,1,Germany,2016,0.04310850439882698,40920
nace,K,1,Germany,2016,0.01825281083878252,42514
nace,L,1,Germany,2016,0.011827936992058917,53771
nace,M,1,Germany,2016,0.01123474418729962,148470
nace,N,1,Germany,2016,0.01377590176515733,52129
nace,O,1,Germany,2016,0.008421052631578947,950
nace,P,1,Germany,2016,0.011196725258849025,8307
nace,Q,1,Germany,2016,0.004897723998847595,20826
nace,R,1,Germany,2016,0.004997827031725337,9204
nace,S,1,Germany,2016,0.016194117022406286,18834
nace,T,1,Germany,2016,0.0,33
nace,U,1,Germany,2016,,7
nace,A,1,Germany,2017,0.013405948889819858,4774
nace,B,1,Germany,2017,0.0050933786078098476,1178
nace,C,1,Germany,2017,0.017291343506126523,83164
nace,D,1,Germany,2017,0.015899581589958158,11950
nace,E,1,Germany,2017,0.0113882863340564,3688
nace,F,1,Germany,2017,0.009687355613737871,64930
nace,G,1,Germany,2017,0.01483751505987564,123676
nace,H,1,Germany,2017,0.019231758111791022,19447
nace,I,1,Germany,2017,0.011938382541720154,23370
nace,J,1,Germany,2017,0.09266774020397209,46575
nace,K,1,Germany,2017,0.03922594142259414,47800
nace,L,1,Germany,2017,0.017740011926058438,60372
nace,M,1,Germany,2017,0.025176227660028958,168532
nace,N,1,Germany,2017,0.02668022713789304,58997
nace,O,1,Germany,2017,0.0265748031496063,1016
nace,P,1,Germany,2017,0.02081075222198136,9227
nace,Q,1,Germany,2017,0.009397024275646046,22986
nace,R,1,Germany,2017,0.008389425421910058,10251
nace,S,1,Germany,2017,0.03022357162572454,21738
nace,T,1,Germany,2017,0.0,40
nace,U,1,Germany,2017,,8
nace,A,1,Germany,2018,0.020229527329313362,5148
nace,B,1,Germany,2018,0.010517799352750809,1237
nace,C,1,Germany,2018,0.026872056247013585,87976
nace,D,1,Germany,2018,0.028126489750516445,12597
nace,E,1,Germany,2018,0.016243654822335026,3945
nace,F,1,Germany,2018,0.0158663178327285,71168
nace,G,1,Germany,2018,0.02387316662198905,130707
nace,H,1,Germany,2018,0.03167115902964959,20798
nace,I,1,Germany,2018,0.014555627635420046,24692
nace,J,1,Germany,2018,0.14173085087027715,49520
nace,K,1,Germany,2018,0.06550725779449708,50810
nace,L,1,Germany,2018,0.02857231446599383,64557
nace,M,1,Germany,2018,0.041826641776489926,179599
nace,N,1,Germany,2018,0.044885723802122156,63106
nace,O,1,Germany,2018,0.049665711556829036,1048
nace,P,1,Germany,2018,0.03583392548979799,9865
nace,Q,1,Germany,2018,0.013918586355750998,24804
nace,R,1,Germany,2018,0.01461880088823094,10813
nace,S,1,Germany,2018,0.0462154449035226,23500
nace,T,1,Germany,2018,0.05660377358490566,53
nace,U,1,Germany,2018,,8
nace,A,1,Germany,2019,0.027969487831456592,5509
nace,B,1,Germany,2019,0.02017067494181536,1290
nace,C,1,Germany,2019,0.03993933265925177,91035
nace,D,1,Germany,2019,0.0461455773955774,13029
nace,E,1,Germany,2019,0.027105517909002903,4135
nace,F,1,Germany,2019,0.02139998687922325,76299
nace,G,1,Germany,2019,0.0369947308301706,135815
nace,H,1,Germany,2019,0.04514880678153506,21726
nace,I,1,Germany,2019,0.02056665625975648,25647
nace,J,1,Germany,2019,0.1979566021212416,51458
nace,K,1,Germany,2019,0.09696798493408663,53136
nace,L,1,Germany,2019,0.04678250343229159,67789
nace,M,1,Germany,2019,0.06510765537419486,186780
nace,N,1,Germany,2019,0.06843123620642742,66213
nace,O,1,Germany,2019,0.0683111954459203,1054
nace,P,1,Germany,2019,0.05385651086747451,10405
nace,Q,1,Germany,2019,0.021454834919070544,26394
nace,R,1,Germany,2019,0.02329095919637301,11260
nace,S,1,Germany,2019,0.06808717098613189,24767
nace,T,1,Germany,2019,0.06666666666666667,60
nace,U,1,Germany,2019,,8
nace,A,1,Germany,2020,0.03409291644585762,5661
nace,B,1,Germany,2020,0.03120243531202435,1314
nace,C,1,Germany,2020,0.0532725990998319,92212
nace,D,1,Germany,2020,0.06839747969331207,13174
nace,E,1,Germany,2020,0.03225806451612903,4216
nace,F,1,Germany,2020,0.028462008244694387,78612
nace,G,1,Germany,2020,0.049366858967381445,137818
nace,H,1,Germany,2020,0.060395727227655835,22189
nace,I,1,Germany,2020,0.024712949585582844,26303
nace,J,1,Germany,2020,0.24810613198658274,53075
nace,K,1,Germany,2020,0.123161832117056,54545
nace,L,1,Germany,2020,0.06182633439682676,69587
nace,M,1,Germany,2020,0.08433374765958117,190687
nace,N,1,Germany,2020,0.0851809838094256,67886
nace,O,1,Germany,2020,0.09380863039399624,1066
nace,P,1,Germany,2020,0.07238680827277809,10734
nace,Q,1,Germany,2020,0.030826545892837575,27382
nace,R,1,Germany,2020,0.031598189415041784,11489
nace,S,1,Germany,2020,0.08664655881546476,25534
nace,T,1,Germany,2020,0.06153846153846154,65
nace,U,1,Germany,2020,,8
nace,A,1,Germany,2021,0.04049572351195671,5730
nace,B,1,Germany,2021,0.03720577069096431,1317
nace,C,1,Germany,2021,0.06670193013515265,92647
nace,D,1,Germany,2021,0.09094968740696636,13438
nace,E,1,Germany,2021,0.04091120409112041,4303
nace,F,1,Germany,2021,0.03471511642416831,80159
nace,G,1,Germany,2021,0.060440946470914685,138769
nace,H,1,Germany,2021,0.07356486028033211,22406
nace,I,1,Germany,2021,0.029298409728718427,26730
nace,J,1,Germany,2021,0.28765910348644164,54225
nace,K,1,Germany,2021,0.1486328160204762,55486
nace,L,1,Germany,2021,0.0746076629435883,70739
nace,M,1,Germany,2021,0.10341264855379088,192633
nace,N,1,Germany,2021,0.10276868719047758,69071
nace,O,1,Germany,2021,0.1287313432835821,1073
nace,P,1,Germany,2021,0.08810213690691779,11046
nace,Q,1,Germany,2021,0.04222757545699306,28238
nace,R,1,Germany,2021,0.040055488122073865,11537
nace,S,1,Germany,2021,0.10497322111706198,26144
nace,T,1,Germany,2021,0.08823529411764706,68
nace,U,1,Germany,2021,,8
nace,A,1,Germany,2022,0.05321390937829294,5694
nace,B,1,Germany,2022,0.04354469060351413,1309
nace,C,1,Germany,2022,0.08090398941115985,91420
nace,D,1,Germany,2022,0.1307174718379073,13227
nace,E,1,Germany,2022,0.05049088359046283,4278
nace,F,1,Germany,2022,0.04385049595816099,79548
nace,G,1,Germany,2022,0.07375030150643579,136818
nace,H,1,Germany,2022,0.08900428990742831,22145
nace,I,1,Germany,2022,0.03577339753235029,26585
nace,J,1,Germany,2022,0.32999145965615834,53863
nace,K,1,Germany,2022,0.1759804365546599,55208
nace,L,1,Germany,2022,0.08916970594939594,70193
nace,M,1,Germany,2022,0.12291277225851169,190450
nace,N,1,Germany,2022,0.12307042581697443,68670
nace,O,1,Germany,2022,0.16872037914691942,1055
nace,P,1,Germany,2022,0.10538177228883079,11095
nace,Q,1,Germany,2022,0.05503590821509897,28545
nace,R,1,Germany,2022,0.059603804869534864,11460
nace,S,1,Germany,2022,0.12396757711958818,26033
nace,T,1,Germany,2022,0.08823529411764706,68
nace,U,1,Germany,2022,,8
nace,A,1,Germany,2023,0.07085346215780998,5590
nace,B,1,Germany,2023,0.05891472868217054,1290
nace,C,1,Germany,2023,0.09935875801552481,88891
nace,D,1,Germany,2023,0.1610065779409515,13074
nace,E,1,Germany,2023,0.06271023546371937,4162
nace,F,1,Germany,2023,0.057403130613292275,77942
nace,G,1,Germany,2023,0.09476262245666918,132703
nace,H,1,Germany,2023,0.11197323793151512,21523
nace,I,1,Germany,2023,0.0480070722988815,26018
nace,J,1,Germany,2023,0.3824530538876353,52294
nace,K,1,Germany,2023,0.21159628830224878,54209
nace,L,1,Germany,2023,0.11669264044043752,68660
nace,M,1,Germany,2023,0.14984851012533568,185824
